proteinA_entrezid,proteinB_entrezid,databases
2670,6502,bioplex
2289,9271,APID|intact|instruct
2932,5970,PhosphoSP|inweb|KinomeNetX
290,2908,encode
22803,27185,APID|biogrid|HIPPIE|intact|pina
4088,6532,qubic
2908,115817,encode
2932,6421,PhosphoSP|inweb|KinomeNetX
2908,9972,encode
834,3553,innatedb|signalink|HIPPIE|HINT-binary|inweb
7124,147872,intact|hiunion
27185,55285,hiunion
775,5587,PhosphoSP|KinomeNetX
2137,3358,bioplex
2908,7849,encode
2908,7267,pina|APID|intact
2908,81631,encode
27185,55638,pina|APID|intact|biogrid
2908,29774,encode
2670,5987,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
27185,89796,intact
2,3553,APID|intact|HIPPIE
2888,2932,APID|intact|inweb
27185,57562,pina|APID|intact|biogrid
2908,84962,encode
7422,7528,innatedb
1739,3358,intact
622,7124,bioplex|HIPPIE
9737,27185,intact
7124,23786,intact|hiunion
27185,256369,hiunion
27185,84221,hiunion
2908,7533,instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb|pina
3800,27185,intact
23040,27185,APID|biogrid|HIPPIE|intact|pina
23287,27185,APID|biogrid|HIPPIE|intact|pina
3458,3458,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary
3358,6443,mint|intact
2670,342132,intact|hiunion
2932,55294,inweb
2932,93436,signalink
2289,57037,HINT-binary
2908,6840,pina|APID|biogrid|inweb
1312,2707,hiunion
7124,132660,pina|APID|intact
3553,29108,innatedb
27185,284001,intact|hiunion
4915,219681,signalink
1501,4915,signalink
26160,27185,intact
6285,23658,bioplex
1785,27185,intact
2670,161514,intact|hiunion
2668,5979,signalink
2908,6688,encode|signalink
2908,692086,encode
3912,27185,intact
1051,2908,APID|biogrid|HIPPIE|litbm17|inweb|pina
1813,10134,mint|intact
1958,2289,innatedb
7124,27429,HIPPIE|HINT-complex
2932,3059,KinomeNetX
491,3358,bioplex
2908,283932,encode
9354,27185,intact
4149,4524,encode
2908,55644,instruct|APID|biogrid|mint|intact|pina
2908,8968,APID
2932,10849,qubic
2782,27185,instruct|APID|biogrid|HIPPIE|intact|pina
27185,57459,intact
7422,345651,bioplex
2908,7041,APID|biogrid|HIPPIE|inweb|pina
4904,4915,signalink
2908,8648,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|pina|HINT-complex
2932,4638,PhosphoSP|KinomeNetX
2908,6430,pina|APID|intact
27185,246176,hiunion
2670,26051,intact|hiunion
1813,25844,mint|intact
1674,2932,PhosphoSP
5536,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2770,4524,bioplex|HIPPIE
2289,79596,APID|intact|instruct
1958,4133,innatedb
7124,7316,inweb|HINT-complex
5803,7124,pina|APID|intact
4684,6310,instruct|APID|biogrid|HINT-binary|intact|pina
27185,285527,instruct|APID|biogrid|HIPPIE|intact|pina
3358,29956,bioplex
177,6285,interactome3d|instruct|APID|HIPPIE|HINT-binary|intact|mint|litbm17|inweb
1312,1312,qubic|interactome3d|insider|instruct
3356,3357,intact
602,2932,inweb|KinomeNetX
2908,8629,encode
1051,3569,innatedb
775,6262,inweb
805,2908,HIPPIE
2932,5573,KinomeNetX|qubic|HIPPIE|HINT-complex
4524,6721,encode
2908,54971,encode
1432,4128,PhosphoSP|KinomeNetX
3553,4783,signalink
8514,27185,intact
811,6532,inweb
7529,27185,intact
4128,80755,instruct
1213,2908,pina|APID|intact
1813,2035,pina
6453,27185,APID|biogrid|HIPPIE|intact|litbm17|pina
2908,4297,pina|APID|intact
1278,1312,qubic
27185,56479,pina|APID|intact|biogrid
3304,6532,APID
4684,7782,bioplex|HIPPIE
2668,3725,qubic
2908,6666,encode
631,27185,intact
2670,5566,PhosphoSP|HIPPIE|KinomeNetX
27185,55643,intact
56521,121278,bioplex
2909,27185,intact
5936,7124,innatedb
2908,10728,inweb|HIPPIE|HINT-complex
23136,27185,intact
2146,2932,PhosphoSP
2932,5624,qubic
627,4908,interactome3d|instruct|APID|HINT-binary|intact|insider|inweb|pina
3320,7422,inweb
4915,79637,signalink
2908,64969,encode
2289,7316,inweb
5978,121278,encode
6275,6285,instruct|hiunion|qubic|APID|biogrid|HIPPIE|HINT-binary|intact|mint|pina
1716,4684,bioplex|HIPPIE
955,2932,instruct|APID|biogrid|mint|intact|pina
2932,153090,inweb
2908,3017,encode
1813,57142,mint|intact
329,2932,inweb
4862,9575,APID|biogrid
2289,10959,qubic
2908,4691,inweb|HIPPIE
2932,57521,PhosphoSP
1815,6714,inweb
1813,11152,bioplex
1612,2908,APID|biogrid
2908,284836,encode
2908,90522,encode
2289,5834,intact
1312,27315,hiunion
1312,58515,intact|hiunion
1107,4747,instruct|APID|biogrid|HIPPIE|intact|pina
2534,7124,inweb
3458,5318,signalink
2932,4170,innatedb|PhosphoSP|HIPPIE|KinomeNetX
2908,5763,inweb|HIPPIE
2289,2475,interactome3d|insider|instruct
595,2932,PhosphoSP|APID|HIPPIE|KinomeNetX|intact
27102,27185,intact
1025,2289,instruct|APID|HIPPIE|HINT-binary|intact|litbm17|inweb|bioplex|HINT-complex
7123,7124,interactome3d
27185,57451,intact
27185,54873,intact
5426,27185,intact
2670,197131,bioplex
147,2908,encode
9578,27185,intact
2908,8496,encode
2289,10724,instruct|APID|HIPPIE|HINT-binary|intact
9682,27185,intact
2908,3875,encode
2289,10062,APID|intact|instruct
898,2932,PhosphoSP|APID|HIPPIE|KinomeNetX|intact|litbm17|inweb
2040,7124,intact|hiunion
27185,79641,APID|biogrid|HIPPIE|intact|pina
2932,55359,inweb
2908,3005,encode
481,2908,pina|APID|intact
492,3358,mint|intact
4747,23028,APID|biogrid|instruct
6804,7124,intact|hiunion
2289,4214,inweb
2670,81493,bioplex
2932,5499,signalink|HIPPIE|inweb|pina|HINT-complex
60,4133,inweb|HIPPIE
2033,3458,innatedb
4915,150709,signalink
4915,25852,signalink
2908,9611,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb|HINT-complex
627,390212,hiunion
2932,3184,PhosphoSP|HIPPIE|KinomeNetX
841,7124,inweb
7422,8829,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary|intact|mint|litbm17|inweb|HINT-complex
627,3726,instruct|APID|biogrid|HINT-binary|intact
1312,6518,intact|hiunion
1312,7201,hiunion
3356,4916,pina|APID|intact
2932,50943,PhosphoSP|signalink
6829,27185,intact
2908,3178,pina|APID|biogrid|instruct
7124,7124,interactome3d|instruct|innatedb|HINT-binary|intact|litbm17|HINT-complex
2668,6855,hiunion
1312,2865,intact|hiunion
6285,114569,APID|intact|biogrid|hiunion
2670,6598,APID|biogrid
10971,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2670,7159,hiunion
2908,388610,encode
27185,79571,hiunion
2670,3866,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
2908,6223,encode
1500,3458,signalink
2908,83445,encode
1815,3760,innatedb|inweb
7124,408263,intact|hiunion
2908,55766,encode
2908,9063,pina
3458,3872,signalink
2908,8351,encode
2908,80271,encode
2932,161882,instruct|innatedb|APID|biogrid|HINT-binary|intact|litbm17|pina
8476,27185,intact
2932,5210,instruct|APID|biogrid|mint|intact|pina
9638,27185,APID|biogrid|litbm17|inweb|pina
4684,5499,inweb
3178,7124,inweb
1312,2740,biogrid
2932,5241,PhosphoSP
2932,3611,signalink|HIPPIE
3358,4580,bioplex
775,9992,APID|biogrid
400,1813,mint|intact
27185,54820,HINT-binary|APID|intact|biogrid
5230,27185,instruct|APID|biogrid|HIPPIE|intact|pina
