proteinA_entrezid,proteinB_entrezid,databases
7099,8744,inweb
351,90070,innatedb
351,1785,innatedb|inweb|HIPPIE|HINT-complex
5649,7436,inweb|HIPPIE|HINT-complex
351,2273,intact
207,51343,biogrid
815,11178,KinomeNetX
3791,6671,signalink
207,57521,inweb
1814,8777,APID|biogrid
196,3576,innatedb
3479,3490,inweb|HIPPIE|HINT-complex
351,121536,HIPPIE|HINT-complex
2902,5581,signalink
2048,2904,signalink
2898,2898,HINT-binary|insider|instruct
7494,8431,pina|APID|biogrid|instruct
207,26249,inweb
9572,92912,signalink
207,4000,PhosphoSP
1063,10611,qubic
3479,3484,instruct|APID|signalink|HIPPIE|HINT-binary|intact|inweb
207,150684,instruct|APID|biogrid|HIPPIE|intact|litbm17|inweb|pina
88,2904,APID|biogrid|inweb
6616,143425,HIPPIE
5725,6095,inweb
157,367,signalink
406,8850,inweb
406,7316,inweb
351,587,innatedb
5428,6908,encode
6386,84062,instruct|hiunion|APID|biogrid|HINT-binary|intact
1739,2904,instruct|APID|biogrid|HINT-binary|intact|mint|litbm17|inweb|pina
351,90441,innatedb|HIPPIE|HINT-complex
207,8682,PhosphoSP|innatedb|signalink|HIPPIE|KinomeNetX|inweb
7099,114609,instruct|innatedb|APID|signalink|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
207,4084,PhosphoSP|HIPPIE|KinomeNetX|HINT-binary|inweb
4729,5250,CoFrac
351,1956,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17
351,196441,qubic|intact|HIPPIE
207,11073,PhosphoSP|KinomeNetX
1363,3630,HIPPIE
351,140545,instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|HINT-complex
207,4217,innatedb|PhosphoSP|inweb|KinomeNetX
351,6709,innatedb
2066,4193,inweb
5355,6570,hiunion
7323,9572,signalink
9572,63893,signalink
351,4636,innatedb
4701,10611,CoFrac
351,2997,innatedb
4535,11120,bioplex|HIPPIE
3885,5027,intact
10611,254173,qubic
4153,7098,inweb
351,7535,innatedb
351,2160,interactome3d|bioplex|inweb|instruct
351,255626,innatedb
6095,55791,pina|inweb
207,9882,innatedb|PhosphoSP|inweb|KinomeNetX
815,6660,hiunion
207,57402,instruct|APID|biogrid|HINT-binary|intact|mint
207,27338,PhosphoSP
1739,2903,instruct|APID|biogrid|HINT-binary|litbm17|inweb|pina
815,5071,inweb
331,351,innatedb
207,5599,inweb|KinomeNetX
351,9217,intact
351,9397,innatedb
157,406887,signalink
8674,55690,inweb
3630,5318,signalink
3654,7099,innatedb|inweb|signalink|HIPPIE
815,6821,intact|hiunion
351,404220,HIPPIE|HINT-complex
351,84081,innatedb
4543,6531,APID|intact|biogrid
815,10456,bioplex|HIPPIE
84062,340527,bioplex|HIPPIE
5163,6570,bioplex
815,2903,HIPPIE
351,5908,innatedb
351,143884,innatedb
6095,79365,APID|biogrid
291,6646,APID|intact
6531,6531,instruct|APID|HIPPIE|HINT-binary|intact
351,782,innatedb
351,11284,innatedb
351,7083,innatedb
351,2775,pina|inweb
207,4092,signalink|inweb
23345,23512,innatedb
351,148281,HIPPIE|HINT-complex
351,81608,innatedb
1070,84062,bioplex|HIPPIE
351,3159,HINT-complex
1052,7226,innatedb
2066,26018,inweb|signalink|HIPPIE|HINT-complex
351,3028,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|pina
5428,7267,biogrid
207,3276,KinomeNetX
1129,79581,mint|intact
1741,2898,inweb|HIPPIE
7494,143471,inweb
2571,4690,pina|APID|intact|instruct
351,8337,innatedb|HIPPIE|HINT-complex
291,5581,inweb
351,27079,innatedb|HIPPIE|HINT-complex
5711,10611,qubic
64101,84628,interactome3d|instruct|APID|HINT-binary|intact|insider|litbm17|inweb|mint|pina
351,2039,innatedb
207,6426,KinomeNetX
2898,9463,instruct|APID|signalink|biogrid|litbm17|inweb|pina|HINT-complex
351,6224,innatedb
351,257169,HIPPIE|HINT-complex
2066,5777,mint|APID|intact|biogrid
3985,6570,bioplex
351,4582,hiunion
5142,5566,PhosphoSP|KinomeNetX
3576,9612,innatedb
2920,3576,innatedb
207,9743,pina
1501,3630,signalink
351,63891,intact
6671,729240,hiunion
6869,201562,bioplex
207,5580,innatedb|KinomeNetX
2066,8502,signalink
351,83941,APID|litbm17|biogrid|inweb
7099,51014,HINT-binary|innatedb|instruct
5428,339229,bioplex|HIPPIE
406,55526,hiunion
4134,6095,innatedb
2904,5582,signalink
351,3329,innatedb|inweb|HIPPIE|HINT-complex
5443,25828,intact|hiunion
207,2273,inweb
8506,81562,bioplex
351,23385,interactome3d|instruct|HINT-binary|inweb|HINT-complex
207,7086,PhosphoSP
207,11014,biogrid
321,351,instruct|APID|biogrid|HINT-binary|intact|litbm17|inweb|pina|HINT-complex
351,142940,innatedb
22839,22941,APID|biogrid|inweb
3630,4856,inweb|HIPPIE
2624,3479,signalink
2556,2743,bioplex
351,442523,innatedb
2534,2902,inweb
2898,7706,instruct|APID|biogrid|HINT-binary|intact
2066,80824,mint|APID|intact|biogrid
351,7048,innatedb|HIPPIE|HINT-complex
207,64410,KinomeNetX
3576,4791,innatedb
351,254295,HIPPIE|HINT-complex
6616,6616,interactome3d|instruct|APID|HINT-binary|insider
3084,9394,bioplex|HIPPIE
3084,22836,bioplex|HIPPIE
84062,89796,bioplex|HIPPIE
406,23411,inweb
351,80700,innatedb
291,367,instruct|APID|HIPPIE|HINT-binary|intact|inweb
5582,10611,APID|HIPPIE
351,56943,innatedb
351,10923,HINT-complex
207,1958,innatedb
816,2904,HIPPIE
1500,9572,signalink
1876,8863,encode
3431,4729,instruct|APID|biogrid|HINT-binary|intact|pina
207,27254,innatedb
351,55754,instruct|HIPPIE|HINT-binary|intact|bioplex
351,5413,innatedb
351,6001,innatedb
3576,5971,innatedb
351,1489,innatedb
1072,2066,APID|intact
58,207,inweb|HIPPIE|HINT-complex
207,23676,KinomeNetX
2902,116444,inweb
2066,11072,mint|APID|intact|biogrid
288,5597,instruct|APID|biogrid|HINT-binary|intact
335,351,APID|HIPPIE|intact|litbm17|inweb|pina
2033,3576,HINT-binary|innatedb|inweb
351,9817,bioplex
351,5356,HIPPIE|HINT-complex
367,2569,signalink
6616,6809,inweb|HINT-complex
5443,7681,intact|hiunion
3725,7099,encode
3416,3479,inweb
988,23345,instruct|APID|biogrid|intact|pina
207,9261,PhosphoSP|instruct|APID|HIPPIE|KinomeNetX|intact|litbm17|inweb|HINT-complex
5530,22941,hiunion
351,4508,intact
3630,388677,intact|hiunion
207,54764,PhosphoSP
4729,54732,CoFrac
2904,260425,APID|mint|intact|inweb|pina
7494,8971,pina|APID|biogrid|instruct
157,4987,PhosphoSP
351,55252,innatedb
622,6570,bioplex
738,84062,bioplex|HIPPIE
6869,84187,bioplex
207,5156,biogrid
351,10220,bioplex
207,3059,KinomeNetX
8546,84062,bioplex|HIPPIE
6531,9463,APID|biogrid|intact|mint|litbm17|inweb
351,7534,innatedb|inweb|HIPPIE
207,1384,KinomeNetX
26960,84062,instruct|APID|biogrid|HIPPIE|intact|pina
351,10682,intact|HIPPIE
4161,5443,inweb|HIPPIE
2066,9647,mint|APID|intact|biogrid
6720,9415,encode
1050,116443,inweb|HIPPIE|HINT-complex
291,112770,bioplex
2558,2558,interactome3d
351,1756,innatedb
351,2002,innatedb|HIPPIE|HINT-complex
1869,6671,inweb
2064,2066,instruct|APID|signalink|biogrid|HINT-binary|intact|litbm17|inweb|HINT-complex
3836,7099,signalink
3479,3485,HINT-binary|inweb|instruct
4538,6869,bioplex
351,79571,innatedb
4692,84062,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17
351,1891,innatedb
815,1385,inweb
3630,28672,interactome3d
351,54897,innatedb
6570,8972,hiunion
207,642273,inweb
5443,57542,intact|hiunion
3479,406887,signalink
2904,10399,inweb
22884,55690,bioplex|HIPPIE
3613,54715,bioplex
351,5443,inweb
291,10105,inweb
351,150209,innatedb|HIPPIE|HINT-complex
3480,3630,signalink|inweb
351,51018,innatedb
207,1114,KinomeNetX
6570,84912,hiunion
815,55156,bioplex|HIPPIE
207,5770,innatedb|PhosphoSP|KinomeNetX
351,27429,inweb
351,56894,innatedb
7329,9572,signalink
351,158511,innatedb
351,6204,innatedb|HIPPIE|HINT-complex
207,3337,instruct|APID|biogrid|intact|pina
2902,5332,inweb
815,5335,inweb
351,8019,innatedb
2903,5775,pina|interactome3d|inweb
815,1499,PhosphoSP
1052,3479,signalink
2898,5562,HIPPIE
1742,2902,APID|inweb
478,5092,pina|APID|intact
6570,23780,hiunion
207,9266,PhosphoSP
207,5315,PhosphoSP
207,84464,KinomeNetX
207,2290,PhosphoSP|KinomeNetX
23774,84289,inweb|HIPPIE|HINT-complex
351,10295,innatedb
7099,219681,signalink
7099,100302736,HIPPIE
9415,149018,intact
79095,84062,bioplex|HIPPIE
815,7376,PhosphoSP
10611,56658,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
351,9550,innatedb
207,4193,PhosphoSP|instruct|innatedb|APID|signalink|KinomeNetX|HINT-binary|intact|litbm17|inweb|HINT-complex
10611,85021,qubic
7054,768211,bioplex
4188,7054,intact|hiunion
3609,4535,CoFrac
7054,9252,PhosphoSP|KinomeNetX
351,51100,innatedb
351,10134,APID|biogrid|litbm17|inweb|pina
351,84447,inweb
351,5105,innatedb
351,23118,innatedb|HIPPIE|HINT-complex
4729,6714,PhosphoSP
207,5891,KinomeNetX
351,5300,inweb
23774,54737,qubic
3084,29940,bioplex|HIPPIE
351,23090,intact
2066,4585,biogrid
2146,6095,inweb
351,10659,innatedb|HIPPIE|HINT-complex
207,7465,innatedb|PhosphoSP|KinomeNetX
2066,5801,mint|APID|intact|biogrid
695,8863,KinomeNetX
351,28989,HIPPIE|HINT-complex
4535,121457,CoFrac
5594,7494,PhosphoSP
6759,7494,pina|APID|biogrid|instruct
351,254268,innatedb
207,65018,inweb
351,29843,HIPPIE|HINT-complex
7466,22926,inweb
1814,2316,instruct|APID|signalink|biogrid|HIPPIE|HINT-binary|litbm17|inweb|pina
207,8915,PhosphoSP|instruct|innatedb|APID|signalink|HIPPIE|KinomeNetX|HINT-binary|intact|mint|litbm17|inweb
6095,8204,interactome3d|insider|instruct
351,162962,intact
1129,114928,pina
351,9454,innatedb|inweb|HIPPIE
2902,5724,mint|intact
4729,126328,inweb
7099,29950,APID|intact|biogrid|instruct
351,6622,instruct|APID|HIPPIE|intact|litbm17|inweb|HINT-complex
207,4688,biogrid
60412,84062,instruct|APID|biogrid|HIPPIE|intact|litbm17|pina|bioplex
207,10000,bioplex
1742,2898,signalink|inweb|HINT-complex
351,26276,innatedb
815,8851,APID|biogrid|litbm17|inweb|pina
6671,729233,hiunion
351,3937,innatedb
506,6869,bioplex
207,9641,PhosphoSP
3612,3613,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
815,8372,intact|hiunion
4729,8801,CoFrac
351,22919,APID|litbm17|biogrid|HIPPIE
6570,84293,bioplex
3084,5885,encode
207,3609,PhosphoSP|KinomeNetX
351,839,innatedb|APID|intact|HIPPIE
815,90121,intact|hiunion
207,6198,instruct|APID|signalink|HIPPIE|HINT-binary|intact|mint|litbm17|inweb|pina|HINT-complex
4358,4535,CoFrac
23321,84062,pina|APID|biogrid|instruct
351,53349,innatedb
207,8479,KinomeNetX
3630,375791,intact|hiunion
207,23184,intact|hiunion
3084,5002,bioplex|HIPPIE
351,64506,inweb|HIPPIE|HINT-complex
7099,23633,signalink
6570,51234,bioplex
207,10189,PhosphoSP|inweb|KinomeNetX
8863,8864,inweb
4535,6490,bioplex
5579,10611,APID|biogrid|HIPPIE|litbm17|inweb
351,84722,innatedb|HIPPIE|HINT-complex
4153,23643,innatedb
207,8115,instruct|hiunion|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|inweb|HINT-complex
6570,9854,hiunion
1463,3371,pina|APID|biogrid|inweb
351,9572,innatedb
1191,81562,bioplex
6570,201562,bioplex
207,54039,KinomeNetX
2113,3479,signalink
4729,10531,CoFrac
7099,23643,interactome3d|instruct|innatedb|APID|HINT-binary|intact|litbm17|inweb|pina|HINT-complex
351,148252,innatedb
6616,9527,inweb
8863,10202,intact
351,54870,APID|litbm17|biogrid|inweb
1500,7099,signalink
351,7123,innatedb
551,4669,bioplex
23345,25777,interactome3d|APID|biogrid|intact|insider|litbm17|inweb
8358,23774,HIPPIE
351,29767,HINT-complex
351,56342,innatedb|HIPPIE
207,2648,biogrid
6570,56996,bioplex
351,100289635,intact
22875,81562,bioplex
9572,11065,signalink
7099,8502,signalink
6531,6640,innatedb
6755,6755,APID|litbm17|biogrid|HIPPIE
9638,23774,pina|APID|biogrid|inweb
351,5264,innatedb
815,7407,intact|hiunion
22941,140876,hiunion
3576,55624,instruct|APID|biogrid|HINT-binary|intact|pina
207,84991,KinomeNetX
207,4286,PhosphoSP
5027,10548,instruct|APID|biogrid|HINT-binary|intact
815,55093,intact|hiunion
2066,3836,signalink
351,9839,intact
207,1111,PhosphoSP|HIPPIE|KinomeNetX
351,25825,HIPPIE
5027,100653049,hiunion
815,337979,hiunion
5174,6755,innatedb
5688,7494,inweb
6616,6812,HIPPIE
2066,55227,innatedb
2904,9743,APID|litbm17|biogrid|inweb
2066,51741,inweb|HIPPIE|HINT-complex
4153,5648,inweb|HIPPIE
351,9455,innatedb|inweb|HIPPIE
4535,51079,interactome3d
406,3159,intact
351,3500,interactome3d
1500,3630,signalink
4782,7054,bioplex|hiunion
5786,6671,bioplex
6570,10018,bioplex
7099,9450,innatedb
3479,3643,interactome3d|instruct|APID|HIPPIE|HINT-binary|intact|inweb
338,9415,intact
815,960,PhosphoSP|KinomeNetX
3169,4153,encode
351,10664,encode
7188,160851,instruct|APID|biogrid|HINT-binary|intact
6869,653519,bioplex
351,7803,innatedb
207,65125,PhosphoSP|KinomeNetX
207,57504,instruct|APID|biogrid|HINT-binary|intact|mint
7494,126070,pina|APID|biogrid|instruct
351,2551,innatedb
2571,2571,interactome3d|instruct|HINT-binary|intact|insider|pina
7054,9063,intact|hiunion
6616,51019,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
6570,10562,hiunion
207,79791,PhosphoSP
207,4087,APID|HIPPIE|intact|mint|litbm17|inweb
4729,51449,CoFrac
367,22941,signalink
6570,23392,bioplex
84062,140691,bioplex
207,6788,PhosphoSP|HIPPIE|KinomeNetX|HINT-binary|inweb|HINT-complex
3479,406885,signalink
351,55111,innatedb
2903,4613,signalink
351,5598,innatedb|HIPPIE|HINT-complex
4535,4725,inweb
1812,2037,pina|APID|HIPPIE
351,284273,innatedb
207,8841,inweb|signalink|HIPPIE|HINT-complex
815,5132,HIPPIE
6671,23126,intact|hiunion
815,9747,hiunion
288,10752,bioplex
157,406883,signalink
207,2026,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|mint|litbm17
9711,23774,intact|hiunion
351,11157,innatedb
23774,79618,intact|hiunion
207,10152,KinomeNetX
3084,64375,inweb
3490,3630,inweb
351,200558,innatedb
207,203068,inweb|HIPPIE|HINT-complex
9415,101060226,hiunion
351,27145,HIPPIE|HINT-complex
207,56946,PhosphoSP
633,7099,inweb
2898,50943,signalink
207,51631,KinomeNetX
351,3005,HINT-complex
351,972,innatedb
2150,7466,mint|intact
207,4691,KinomeNetX
3371,7099,APID|intact
207,50852,KinomeNetX
2066,6777,signalink
351,79800,innatedb|HIPPIE|HINT-complex
2569,10059,inweb
6570,115704,bioplex
6570,144110,hiunion
351,5872,intact
207,5553,HIPPIE
207,54386,instruct|APID|biogrid|HINT-binary|intact|pina
351,51560,pina
6616,6844,interactome3d|instruct|APID|biogrid|HINT-binary|insider|litbm17|inweb|HINT-complex
3576,6374,innatedb
23233,84062,bioplex|HIPPIE
8352,23774,HIPPIE
207,5601,inweb
6570,7037,hiunion
10615,84062,bioplex|HIPPIE
207,2194,instruct|APID|biogrid|HINT-binary|intact|mint
207,58157,APID|litbm17|biogrid
7099,114132,APID|intact
9415,79027,hiunion
4153,4153,interactome3d
2891,2898,inweb
4802,6671,intact|hiunion
351,8342,innatedb|HIPPIE|HINT-complex
2066,26095,APID|biogrid
3630,4036,HIPPIE
207,2264,biogrid
2596,7249,pina
6671,494119,intact|hiunion
351,10476,innatedb
5581,10611,APID|biogrid|inweb
351,55738,innatedb
12,351,HIPPIE
351,90624,innatedb
351,1114,innatedb
4535,22976,APID|biogrid
351,51377,innatedb
551,1031,bioplex
351,283337,innatedb|HIPPIE|HINT-complex
351,9862,innatedb
351,51295,APID|biogrid|instruct
6014,6531,APID|intact|litbm17
1814,2037,pina|APID|HIPPIE
351,5478,innatedb|inweb|HIPPIE
2596,29785,bioplex
8120,84062,bioplex|HIPPIE|HINT-complex
3479,406884,signalink
5476,6570,hiunion
207,5607,biogrid
551,1410,APID|biogrid|HIPPIE|litbm17|inweb
351,8886,innatedb|HIPPIE|HINT-complex
351,692312,HIPPIE|HINT-complex
351,2257,innatedb|HIPPIE|HINT-complex
207,7067,KinomeNetX
351,9475,PhosphoSP
351,51699,HIPPIE|HINT-complex
207,115265,intact|hiunion
351,9968,inweb
818,2902,inweb
1020,84152,signalink
1621,388677,intact|hiunion
10611,10611,qubic|insider|instruct
351,25873,innatedb|HIPPIE|HINT-complex
6570,131616,hiunion
302,1129,intact
815,3674,inweb
1839,6671,signalink
207,4194,PhosphoSP|KinomeNetX
6671,207147,biogrid
351,10095,innatedb
8841,9572,inweb
3479,3479,interactome3d|instruct
2030,6570,bioplex
2898,5978,signalink
3697,5290,instruct|APID|biogrid|intact|pina
351,4313,HINT-binary|interactome3d|instruct
351,10288,HINT-binary|HIPPIE
351,56941,HIPPIE|HINT-complex
551,6484,bioplex
5428,11128,encode
207,5268,instruct|APID|biogrid|HINT-binary|intact|mint
2130,84628,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
288,58504,bioplex
351,3476,innatedb
10611,85378,qubic
5594,7054,inweb|PhosphoSP|HIPPIE|KinomeNetX
351,6198,innatedb
351,54962,innatedb
351,9060,innatedb
3479,170082,hiunion
2556,7364,instruct|APID|biogrid|HINT-binary|intact|pina
10006,84062,bioplex|HIPPIE
5354,6570,hiunion
351,638,innatedb
351,123263,HIPPIE|HINT-complex
5142,5144,interactome3d|bioplex
815,3925,PhosphoSP
351,92092,innatedb
291,7416,APID|intact
406,78999,bioplex
207,2318,PhosphoSP|KinomeNetX
815,3397,PhosphoSP
3992,6570,bioplex
207,2597,inweb
5934,7494,pina|APID|biogrid|instruct
602,3576,innatedb
1325,6755,HIPPIE
2902,10142,HINT-binary|HIPPIE|instruct
322,351,interactome3d|instruct|innatedb|APID|biogrid|HINT-binary|intact|mint|litbm17|inweb|bioplex|HINT-complex
351,54536,instruct|APID|biogrid|HINT-binary|intact
6570,7780,hiunion
6570,283870,hiunion
6616,114088,instruct|inweb|HINT-complex
23774,80321,intact|hiunion
815,5573,KinomeNetX
815,2893,inweb
2066,5794,mint|intact|biogrid
207,5515,HINT-binary|inweb|HINT-complex
351,3416,HINT-binary|interactome3d|HIPPIE|instruct
1716,6616,bioplex|HIPPIE
5443,51686,intact|hiunion
3692,7466,pina|APID|biogrid|instruct
351,25780,innatedb
6570,6713,bioplex
351,54462,innatedb
6755,57120,instruct|innatedb|HINT-binary|inweb|HINT-complex
351,1641,innatedb
2207,6570,hiunion
3872,7099,signalink
207,56957,KinomeNetX
5978,6616,encode
3848,4153,inweb
2596,9412,bioplex
207,10174,APID|litbm17|inweb
207,56616,PhosphoSP
5578,6095,PhosphoSP|KinomeNetX
351,55215,innatedb
207,699,mint|APID|intact
288,6324,inweb|HIPPIE
351,3148,innatedb|HINT-complex
2913,2913,interactome3d|insider|instruct
6570,23042,bioplex
207,6780,innatedb
3479,3487,interactome3d|instruct|APID|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
815,8831,HIPPIE
351,11333,innatedb|HINT-complex
5743,81562,bioplex
7054,403341,bioplex
23345,126859,intact
207,117145,instruct|innatedb|HIPPIE|HINT-binary|inweb
23,351,innatedb|HIPPIE|HINT-complex
291,7384,CoFrac
22859,22941,HINT-binary|instruct|pina
2066,10401,inweb
23774,55854,inweb
207,1969,PhosphoSP|biogrid|KinomeNetX
5827,6570,bioplex|HIPPIE
84152,345651,bioplex
207,3309,instruct|APID|HIPPIE|intact|litbm17|inweb|HINT-complex
10611,91748,CoFrac
3174,9572,encode
3576,3661,innatedb
8553,9572,encode
351,84224,innatedb
351,90326,HIPPIE|HINT-complex
351,2827,pina|inweb
815,84433,PhosphoSP|KinomeNetX
5686,7494,inweb
3630,54507,hiunion
351,4302,innatedb
7431,23774,instruct|APID|biogrid|HINT-binary|intact
3576,4790,innatedb
351,22858,HIPPIE|HINT-complex
6616,6810,HINT-binary|instruct|inweb|HINT-complex
8736,23345,APID|intact|instruct
351,5602,PhosphoSP|KinomeNetX
7494,81502,inweb
351,5144,innatedb
207,11140,inweb|HIPPIE|HINT-complex
207,2782,HIPPIE|HINT-complex
207,5608,biogrid
3014,23774,inweb
7099,7187,innatedb|signalink|inweb
351,3814,inweb
207,56270,KinomeNetX
351,84154,innatedb
207,26155,KinomeNetX
4729,10801,CoFrac
351,1500,innatedb|HIPPIE|HINT-complex
8502,9572,signalink
207,23657,PhosphoSP
207,23624,biogrid
351,2117,innatedb|HIPPIE|HINT-complex
351,9825,innatedb
10959,23774,qubic
351,80125,HIPPIE|HINT-complex
6570,10175,hiunion
7099,7143,APID|intact
10099,81562,bioplex
551,9469,bioplex
5594,6095,PhosphoSP|KinomeNetX
207,23216,PhosphoSP|KinomeNetX
351,8445,innatedb|HIPPIE|HINT-complex
3881,5027,instruct|hiunion|APID|biogrid|HINT-binary|intact
351,1397,innatedb
288,1399,inweb
207,55704,PhosphoSP|innatedb|APID|biogrid|HIPPIE|KinomeNetX|litbm17|inweb
207,157310,inweb
351,79745,innatedb|HIPPIE|HINT-complex
3084,10678,bioplex|HIPPIE
4535,23521,instruct|APID|biogrid|intact|pina
159989,160851,bioplex|HIPPIE
2066,9576,signalink
351,84106,instruct|APID|biogrid|HINT-binary|intact
3630,6925,instruct|hiunion|APID|biogrid|HINT-binary|intact
3576,79813,innatedb
4700,4729,HINT-binary|inweb|HIPPIE
351,80301,innatedb
815,55172,bioplex|HIPPIE
1610,2944,bioplex
373,2571,biogrid|hiunion
2771,5999,inweb|HIPPIE
6570,11068,hiunion
551,8453,bioplex
351,7468,innatedb|HIPPIE|HINT-complex
351,7057,inweb
2571,2885,APID|intact|instruct
351,124995,innatedb
3084,11146,bioplex|HIPPIE
7289,10611,bioplex
2571,5566,PhosphoSP|inweb|KinomeNetX
351,9519,innatedb|HIPPIE|HINT-complex
351,55422,intact
6570,29986,hiunion
3630,81850,hiunion
6015,23774,qubic
2902,6714,PhosphoSP|KinomeNetX
5597,7466,instruct|APID|biogrid|mint|intact|pina
6616,29091,HIPPIE
9572,219681,signalink
207,3661,innatedb|inweb
207,8678,PhosphoSP|instruct|HIPPIE|biogrid|HINT-binary
2556,3107,bioplex
3084,25896,bioplex|HIPPIE
23345,27005,APID|biogrid
207,1439,inweb
6570,10447,hiunion
207,1029,biogrid
2066,2597,APID|intact
815,2904,KinomeNetX|PhosphoSP|inweb|HINT-complex
5071,6531,inweb
351,4832,innatedb
351,6156,innatedb|HIPPIE|HINT-complex
351,4793,innatedb
351,10209,innatedb
7054,23270,intact|hiunion
351,11222,HIPPIE|HINT-complex
351,11004,innatedb|HIPPIE|HINT-complex
3479,406883,signalink
815,55143,bioplex|HIPPIE
6671,117286,instruct|hiunion|APID|biogrid|HINT-binary|intact
1814,2885,signalink|inweb|HINT-complex
815,4842,HIPPIE
351,84298,HIPPIE|HINT-complex
207,4734,HINT-binary|inweb|signalink|HIPPIE
2010,23345,instruct|APID|HIPPIE|HINT-binary|litbm17|inweb|pina|HINT-complex
1457,2569,inweb
4535,8600,bioplex|HIPPIE
207,836,innatedb|inweb|HIPPIE
1621,4904,signalink
4535,5250,CoFrac
291,220717,CoFrac
55337,84062,instruct|hiunion|APID|biogrid|HINT-binary|intact
207,10273,inweb|signalink|HIPPIE|HINT-complex
5090,23245,encode
3630,8462,signalink
6095,9730,inweb
6570,51478,bioplex
7099,93436,signalink
288,8546,APID|intact|litbm17
3416,3630,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary|intact
2596,5333,inweb
207,8350,PhosphoSP|KinomeNetX
9572,148581,signalink
367,3479,signalink
1621,29803,signalink
351,169611,innatedb|HIPPIE|HINT-complex
351,2963,pina|APID|intact
207,1073,KinomeNetX
351,5080,intact
207,9368,PhosphoSP|inweb
6863,6869,interactome3d|instruct|APID|HIPPIE|HINT-binary|insider|litbm17|inweb|pina|HINT-complex
351,57704,innatedb
351,5599,PhosphoSP|innatedb|HIPPIE|KinomeNetX|inweb|HINT-complex
7099,51295,pina
3084,5354,hiunion
351,27338,innatedb
351,200185,innatedb
351,51101,HIPPIE|HINT-complex
51019,84062,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|bioplex
5597,10611,KinomeNetX
351,8824,bioplex
2903,5885,encode
288,4087,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|mint|litbm17|pina
815,337970,intact|hiunion
351,85480,innatedb|HIPPIE|HINT-complex
3183,91752,intact
351,84105,innatedb|HIPPIE|HINT-complex
7099,9576,signalink
291,27235,APID|intact
1316,3576,innatedb|inweb
351,4088,innatedb
351,65008,innatedb
367,3084,signalink
207,4763,biogrid
150,207,signalink
351,5646,HINT-binary|interactome3d|instruct
207,3656,innatedb
207,79960,inweb
5428,54988,bioplex
351,53833,bioplex
351,554236,innatedb|HIPPIE
1896,2556,bioplex
207,1786,PhosphoSP|inweb|KinomeNetX
351,23640,innatedb
4035,4153,APID|mint|intact|litbm17|inweb|pina
207,6615,inweb
207,6601,innatedb|inweb
291,1017,innatedb
815,6236,PhosphoSP|KinomeNetX
9572,65264,signalink
4012,81562,bioplex
288,7316,inweb
7054,10454,bioplex
4729,10524,instruct|APID|biogrid|HINT-binary|intact
3630,8601,instruct|hiunion|APID|biogrid|HINT-binary
351,65117,innatedb
351,78994,innatedb|HIPPIE|HINT-complex
84062,114088,pina|APID|biogrid|instruct
351,57379,innatedb|HIPPIE|HINT-complex
207,4296,innatedb|PhosphoSP|inweb|KinomeNetX
815,54502,intact|hiunion
1499,2902,signalink
8997,84062,pina|APID|biogrid|instruct
207,6497,PhosphoSP|inweb|KinomeNetX
2033,4153,encode
288,7074,inweb
2146,23345,innatedb
7099,653509,innatedb
102,351,intact
351,9274,innatedb
351,6456,innatedb|inweb
3084,55366,bioplex
6570,85013,hiunion
815,9232,inweb
351,837,HIPPIE
9572,51324,intact|hiunion
207,9406,KinomeNetX
4899,9572,encode
207,3315,PhosphoSP|instruct|APID|HIPPIE|KinomeNetX|intact|litbm17|inweb|HINT-complex
815,8048,KinomeNetX
351,201514,intact
351,55139,innatedb|HIPPIE|HINT-complex
207,3064,innatedb|PhosphoSP|inweb|KinomeNetX
351,10671,innatedb
351,10226,innatedb
3576,6382,innatedb|inweb
351,4976,HIPPIE|HINT-complex
351,51574,innatedb
351,3178,innatedb|HINT-complex
207,54739,intact|hiunion
351,5178,intact
5531,7099,inweb
3576,3577,interactome3d|instruct|innatedb|APID|HIPPIE|HINT-binary|insider|litbm17|inweb|HINT-complex
9572,50943,signalink
815,2332,intact
6872,7494,encode
207,81608,KinomeNetX
10575,23245,bioplex
207,7490,PhosphoSP
207,8570,pina|PhosphoSP|KinomeNetX
2066,150290,mint|APID|intact|biogrid
2066,83737,instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb|HINT-complex
23345,23345,APID|litbm17|biogrid
207,5074,innatedb
